编号	中文名	日文名	英文名	图鉴说明	详情	宝可梦
129	小小博物馆	プチ博物館	Mini museum	只要放在展示台上，任何东西看起来都像珍宝。	分隔物（任意）×3|台座／展示台×1|遗失物（大）×1	索财灵,普通,全部|风速狗,稀有,全部
130	清爽的储物间	さわやかロッカールーム	Refreshing locker room	只要放上观叶植物，朴素的储物间也会变成清爽的氛围。	办公室储物柜×2|植栽（任意）×1|椅子（长）×1|拳击机×1	腾蹴小将,普通,全部|闪焰王牌,稀有,全部
131	铜像观光景点	銅像の観光スポット	Bronze landmark	感觉很适合拍照的铜像。3只宝可梦的可爱模样让大家着迷。	花篱（任意）×4|月夜起舞像×1|牌子×1	皮皮,普通,全部|皮可西,稀有,全部
132	平交道	ふみきり	Railroad crossing	栏杆放下期间禁止通行。宝可梦们也会停下来吗…。	铁轨×1|道闸×1	大炭车,普通,全部|小炭仔,普通,全部|巨炭山,超稀有,全部
133	厨师的厨房	シェフの調理場	Chef's kitchen	炉灶、水槽和厨具，厨师应该会喜欢这里的一切。	炉灶×1|水槽×1|自然风桌子×1|时髦锅×1|砧板×1|装盘的食物×1	藏饱栗鼠,普通,全部
134	极致豪华	ザ・ゴージャス	Absolute luxury	援放的每件家具都是顶级精品，是个无比豪华的空间。	豪华立灯×1|豪华床铺×1|豪华沙发×1|豪华桌子×1	赛富豪,稀有,全部
135	沉沉铁色	ずっしりアイアン	Heavy iron	沉稳的单色空间。点灯后，气氛显得更加宁静。	铁床铺×1|铁桌子×1|铁椅子×1|提灯×1	巨炭山,稀有,全部
136	摩登生活	モダンライフ	Modern living	简约又时尚。摩登设计充满时髦的感觉。	工业风床铺×1|工业风桌子×1|工业风椅子×1	狙射树枭,稀有,全部
137	粉红色草丛	ピンクの草むら	Pink tall grass	粉红色的草组成的小草丛。在空岛很常见。	粉红色草×4	大颚蚁,普通,全部|夜巡灵,普通,全部|超音波幼虫,稀有,全部|青绵鸟,普通,全部|沙漠蜻蜓,稀有,全部
138	树荫的粉红色草丛	木かげのピンクの草むら	Tree-shaded pink tall grass	生长在树荫下的粉红色草。稍微有点潮湿。	大树（任意）×1|粉红色草×4	新叶喵,普通,全部|多龙梅西亚,普通,全部|沙基拉斯,普通,全部|多龙奇,稀有,全部
139	湿润的粉红色草丛	うるおうピンクの草むら	Hydrated pink tall grass	粉红色的草与水面相互映社，显得十分美丽。	粉红色草×4|水×2	呱呱泡蛙,普通,全部|呱头蛙,普通,全部|甲贺忍蛙,稀有,全部
140	高岗的粉红色草丛	高台のピンクの草むら	Elevated pink tall grass	生长在云端之上的粉红色草丛。即使狂风吹袭，依旧密壮成长。	粉红色草×4|高处×1	蓝鸦,普通,全部|大电海燕,稀有,全部|电海燕,普通,全部|钢铠鸦,超稀有,全部
141	水泥管秘密基地	土管の秘密基地	Concrete pipe secret base	很久没有使用的水泥管：里面是空的，正适合当秘密基地。	水泥管×3|草（任意）×4	火球鼠,普通,全部|火岩鼠,普通,全部
142	茸茸花田	フワフワな花畑	Fluffy flower bed	可爱的花田，开满了毛营营的台空岛的花。	空岛的花×4	六尾,普通,全部|稚山雀,普通,全部|梦妖魔,超稀有,全部|梦妖,普通,全部|九尾,稀有,全部
143	树荫的茸茸花田	木かげのフワフワな花畑	Tree-shaded fluffy flower bed	在凉爽的树荫下，台空岛的花也轻盈可爱地统放着。	大树（任意）×1|空岛的花×4	麒麟奇,普通,全部|青藤蛇,稀有,全部|奇麒麟,稀有,全部|君主蛇,超稀有,全部
144	湿润的茸茸花田	うるおうフワフワな花畑	Hydrated fluffy flower bed	即使在水中，台空岛的花也散发着柔和的香气。	空岛的花×4|水×2	迷你龙,普通,全部|蚊香君,稀有,全部|哈克龙,超稀有,全部
145	水边小船	水辺の小舟	Waterside dinghy	宁静的时光在水边流消。搭乘独木舟，悠闲地度过吧。	独木舟×1|浮萍×2|水×2|高处×1	快龙,普通,全部
146	光照的瀑布	照らされた滝	Illuminated waterfall	点上火，照亮通往瀑布的道路吧。宝可梦们说不定也会来观赏瀑布。	踏脚石×3|火炬×2|水×3|瀑布×1	暴鲤龙,普通,全部
147	鸟语花香	さえずりガーデン	Birdsong garden	舒适的巢箱和整齐的花篱。仿佛能听到从哪里传来了鸟鸣。	精致花篱×1|木巢箱×1	七夕青鸟,普通,全部
148	简约浴室	シンプルバスルーム	Simple bathroom	普通的浴室。宝可梦们说不定也会来这里洗澡。	花洒×1|浴缸×1	迷你龙,普通,全部|哈克龙,稀有,全部
149	骑行小憩	サイクリング中に休けい	Cycling rest stop	把自行车停好，稍作休息。偶尔也会有宝可梦躲在自动售货机后面。	自行车×1|自动售货机×1	铁哑铃,普通,全部
150	在暖炉旁打瞌睡	暖炉でうたた寝	Fireplace nap spot	待在暖炉前，冻僵了的身体也会逐渐暖和起来。	石头壁炉×1|椅子（长）×1	火岩鼠,普通,全部|火暴兽,稀有,全部
151	精神力量满溢	みなぎるサイコパワー	Surging psychic power	在水晶前念念有词，就可以驾驭无形的力量……也许吧。	简约靠枕×1|水晶球×1	凯西,普通,全部|胡地,稀有,全部
152	水晶占卜	水晶占い	Fortune-teller's table	用精神之力窥视水晶，或许能看见未来哦?	椅子（任意）×2|桌子（任意）×1|水晶球×1	凯西,普通,全部|勇基拉,稀有,全部
153	垃圾场的电视	ゴミ捨て場のテレビ	Trash site TV	一台被丢在垃圾场的电视。好像还能开机。	垃圾袋×2|电视×1	彷徨夜灵,稀有,全部|黑夜魔灵,稀有,全部
154	大型垃圾堆放处	粗大ゴミ置き場	Oversized dumping ground	可以法弃大件物品的垃圾场。把不需要的家电放在这里吧。	钢骨×3|轮胎×1|垃圾桶（任意）×1|微波炉×1	小锻匠,普通,空空镇|巨锻匠,普通,全部
155	和搭档一起调查	相棒と取り調べ	Interrogation desk	正在和风速狗一起进行调查。周围弥漫着紧张的气氛。	风速狗玩偶×1|铁管椅子×2|工业风桌子×1|桌灯×1	新叶喵,普通,全部|蒂蕾喵,普通,全部
156	井盖检修中	マンホール点検中	Sewer hole inspection	井盖正在维修检查闲杂人等请勿靠近。	铁管堆×1|井盖×1|掘山道具×1|可连结式三角锥×1	巧锻匠,普通,空空镇|钢铠鸦,普通,全部|蚊香泳士,普通,全部
157	亮晶晶洗手台	ピカピカ洗面所	Spotless Washing station	洗脸后用毛巾擦干，顿时神清气爽。别志了照照镜子，检查一下仪容吧。	壁挂毛巾×1|壁挂镜×1|洗手台×1	魔尼尼,普通,全部|魔墙人偶,普通,全部
158	家庭影院	ホームシアター	Home theater	放上大大的音响和电视，感觉就像是电影院。	音箱×2|矮柜（任意）×1|电视×1	梦妖魔,稀有,全部
159	学习区	勉強スペース	Study Area	光是拿起铅笔坐在桌前，就感觉自己好像变聪明了些。	书架×1|椅子（任意）×1|桌子（任意）×1|笔筒×1	拉鲁拉丝,普通,全部|奇鲁莉安,稀有,全部
160	节奏感客厅	リズミカルなリビング	Rhythmic Living room	在大电视上玩节奏游戏。跟着节拍在热子上移动吧。	音箱×2|音符垫子（任意）×4|电视×1	嗡蝠,普通,全部|音波龙,稀有,全部
161	擦得锃亮	キュキュッとお掃除	Squeaky clean	在咩利羊海绵上挤满清洁剂，把浴缸擦得亮晶晶吧。	浴缸×1|清洁套组×1	蚊香蝌蚪,普通,全部
162	保湿化妆台	しっとり化粧台	Moisturizing makeup stand	让肌肤滋润水润，妆容似乎就会比平时更完美。	梳妆台（任意）×1|椅子（任意）×1|加湿器×1	奇鲁莉安,普通,全部|沙奈朵,稀有,全部
163	小小图书馆	プチ図書館	Mini library	只要把灯点亮，即便在夜晚也能仔细寻找书本。	书架×2|脚踏凳×1|桌子（任意）×1|照明（任意)×1	沙奈朵,稀有,全部
164	在游戏城对战	ゲームコーナーで対戦	Game Corner battle zone	并排坐好后，对战游戏就开始了。宝可梦们说不定也会来玩。	街机×2|椅子（任意）×2	多边兽乙型,稀有,全部
165	游乐场	プレイランド	Playland	大大的滑梯和各种玩具，不知道该玩哪个才好。	滑梯×1|玩具（任意）×1	藤藤蛇,普通,全部
166	办公区	おしごとデスク	Work desk	坐在办公椅上，劈里啪啦地打字。累了就喝杯饮料休息一下吧。	办公桌×1|笔记本电脑×1|马克杯×1|办公室椅子×1	多边兽２型,稀有,全部
167	办公室的储藏室	オフィスのバックヤード	Office storeroom	摆放日资料和闲置物品的地方。偶尔会有宝可梦不小心跑进来。	办公室架子×1|脚踏凳×1|纸箱×1	梦妖,普通,全部|梦妖魔,稀有,全部|多龙奇,普通,全部|多龙巴鲁托,稀有,全部
168	实验空间	実験スペース	Experiment Space	可以进行大量实验的空间。或许还保留着谁的研究记录。	实验套组×1|显微镜×1|论文×1	胡地,普通,全部
169	为成为博士进行研究	はかせを目指して研究中	Professor's apprentice program	只要不断研究，说不定能变得像巨蔓藤博士那样博学多识。	白板×1|桌子（任意）×1|乱缠电线×1|笔记本电脑×1	金属怪,普通,全部
170	研究员的桌子	研究者のデスク	Researcher's desk	研究的主题是宝可梦与科学。数据已经录入电脑中。	桌子（任意）×2|台式电脑×1|实验套组×1	多边兽,普通,全部
171	请自由取阅	ご自由にお読みください	Public reading material	谁都可以自由翻阅摆放在这里的报纸和杂态。	杂志柜×1|报纸×1	魔尼尼,普通,全部|君主蛇,稀有,全部
172	咚咚锵惊吓箱	ドコドコびっくり箱	Heart-pounding surprise box	聚光灯伴随着太鼓的节奏，打开惊吓箱的紧张感也达到了顶峰。	聚光灯×2|大鼓×1|惊吓箱×1	魔幻假面喵,稀有,全部
173	恶作剧开关	いたずらスイッチ	Prank button	惊虾箱旁显眼的开关。是否要按，中你决定。	贴地开关×1|惊吓箱×1	呱头蛙,稀有,全部|甲贺忍蛙,稀有,全部
174	绝景露脸立牌	絶景の顔だしパネル	Picturesque photo cutout board	作为登上高处的纪念，把验对准板子的洞口拍张照吧。	露脸立牌×1|聚光灯×2|高处×1	正电拍拍,稀有,全部|负电拍拍,稀有,全部
175	轮胎公园	タイヤ公園	Tire Park	比起巨大的滑梯，不知为何轮胎更加抢眼。用各种轮胎来玩要吧。	滑梯×1|轮胎×1|跳轮胎×2	咚咚鼠,普通,亮晶晶空岛的城镇
176	大自然中的集市	自然の中のマーケット	Nature's market	给收银台通上电，即使在大自然中也可以和大家进行交易。	大树（任意）×1|大石头×1|桌子（任意）×2|收银机×1	雷丘,普通,全部
177	工地的发电厂	工事現場のはつでん所	Construction-site generator	施工现场同样需要大量电力。把多余的木材用作燃料吧。	火力发电机×1|脚手架×2|铁管堆×1	修建老匠,普通,全部
178	在道场训练	道場でトレーニング	Dojo training	要是领悟了武道精神，说不定连沉重的岩石都能搬动。	挂轴×2|怪力岩×2	蚊香泳士,普通,全部|艾路雷朵,稀有,全部
179	邪恶组织的基地	悪の組織のアジト	Evil organization HQ	坐在软软的椅子上，背后是组织的标志，感觉就像自己成了老大。	植栽（任意）×2|火箭队挂饰×1|豪华沙发×1	猫老大,普通,全部
180	九团火焰	九つのほむら	Nine flames	9个等火轻轻摇曳，四周弥漫着神秘的气息、。	篝火×9	九尾,普通,全部
181	布偶堆	ぬいぐるみに囲まれて	Plush central	虽然摆放的全是布偶，但或许会有宝可梦误以为是真的。	风速狗玩偶×1|皮卡丘玩偶×1|快龙玩偶×1|伊布玩偶×1	飘飘球,普通,全部|随风球,普通,全部
182	绝佳的游戏环境	バツグンのゲーム環境	Gamer's paradise	非常适合玩游戏的舒适空间。坐在椅子上，沉浸在游戏世界中吧。	电竞床×1|桌子（任意）×1|电竞电脑×1|电竞冰箱×1|电竞椅×1	巨金怪,稀有,全部
183	极致新潮	ポップオブポップ	Top pop	被新潮又多彩的家具包围，感觉心情都会变得雀跃起来。	新潮床铺×1|新潮沙发×1|新潮桌子×1	火暴兽,稀有,全部
184	垂钓场	釣り堀	Fishing pond	垂下的线耐心等待，水属性的宝可梦说不定会过来。	钓竿×1|椅子（任意）×1|水×1	呆壳兽,稀有,全部|呆呆王,稀有,全部
185	海钓场	海釣り	Ocean fishing spot	在大海也来享受重约的乐趣吧。说不定会有与河川或湖油不一样的宝可梦过来。	钓竿×1|椅子（任意）×1|海水×1	鲤鱼王,普通,全部|海兔兽,稀有,全部|海兔兽-1,稀有,全部
186	沼钓场	沼釣り	Marsh fishing spot	沼泽地里也住着宝可梦在泥水附近垂下钓线吧。	钓竿×1|椅子（任意）×1|泥水×1	臭泥,普通,全部|臭臭泥,稀有,全部|土王,稀有,全部
187	温泉钓场	温泉釣り	Hot-spring Fishing Spot	正在泡温泉的宝可梦说不定会被钓饵吸引过来。	钓竿×1|椅子（任意）×1|温泉×1	莲叶童子,普通,全部|莲帽小童,普通,全部
188	熔岩钓场	マグマ釣り	Magma fishing spot	往熔岩中重下钓线，说不定也可以钓到宝可梦…。	钓竿×1|椅子（任意）×1|熔岩×1	风速狗,普通,全部
189	高调的摇滚舞台	ハイなロックステージ	Amped rock stage	弹起劲爆的吉他，高调激昂的表演就要开始。	音箱×2|舞台×1|酷炫电吉他×1|立式麦克风×1	颤弦蝾螈,普通,全部
190	低调的摇滚舞台	ローなロックステージ	Low-key rock stage	弹起低沉的贝斯，低调沉稳的表演就要开始。	音箱×2|舞台×1|酷炫电贝斯×1|立式麦克风×1	颤弦蝾螈-1,稀有,全部
191	怨念骑士的祭坛	怨念の騎士の祭壇	Malicious knight's shrine	有些阴音的空间，仿佛会用来进行诡异的仪式。	台座／展示台×1|咒术之铠×1|踏脚石×2|篝火×2	苍炎刃鬼,普通,全部
192	忠诚骑士的祭坛	忠誠の騎士の祭壇	Auspicious knight's shrine	有些神秘的空间，仿佛会用来进行诡异的仪式。	台座／展示台×1|庆祝之铠×1|踏脚石×2|篝火×2	红莲铠骑,稀有,全部
193	飞翼化石展示台	ツバサのカセキ展示台	Wing Fossil Display	展示着古代宝可梦的化石。是天空王者气派的骨架。	台座／展示台×1|飞翼化石（头）×1|飞翼化石（右翼）×1|飞翼化石（左翼）×1|飞翼化石（身体）×1|飞翼化石（尾巴）×1	化石翼龙,普通,全部
194	头盖化石展示台	ずがいのカセキ展示台	Skull Fossil display	展示着古代宝可梦的化石。是犹如铁一般坚硬的头盖骨。	台座／展示台×1|头盖化石×1	头盖龙,普通,全部
195	头锤化石展示台	ずつきのカセキ展示台	Headbutt Fossil display	展示着古代宝可梦的化石。是比钢铁还要坚硬的头盖骨。	台座／展示台×1|头锤化石（头）×1|头锤化石（身体）×1|头锤化石（尾巴）×1	战槌龙,普通,全部
196	盾甲化石展示台	たてのカセキ展示台	Armor Fossil display	展示着古代宝可梦的化石。是犹如盾牌般坚固的领饰。	台座／展示台×1|盾甲化石×1	盾甲龙,普通,全部
197	护盾化石展示台	シールドのカセキ展示台	Shield Fossil display	展示着古代宝可梦的化石。是犹如防护墙般坚固的领饰。	台座／展示台×2|护盾化石（头）×1|护盾化石（身体）×1|护盾化石（尾巴）×1	护城龙,普通,全部
198	颚之化石展示台	アゴのカセキ展示台	Jaw Fossil display	展示着古代宝可梦的化石。是能咬碎任何东西的下颚的一部分。	台座／展示台×1|颚之化石×1	宝宝暴龙,普通,全部
199	暴君化石展示台	ぼうくんのカセキ展示台	Despot fossil display	展示着古代宝可梦的化石。是大地王者气派的骨架。	台座／展示台×2|暴君化石（头）×1|暴君化石（身体）×1|暴君化石（脚）×1|暴君化石（尾巴）×1	怪颚龙,普通,全部
200	鳍之化石展示台	ヒレのカセキ展示台	Sail Fossil display	展示着古代宝可梦的化石。是被冰封的颈鳍的一部分。	台座／展示台×1|鳍之化石×1	冰雪龙,普通,全部
201	冻原化石展示台	ツンドラのカセキ展示台	Tundra fossil display	展示着古代宝可梦的化石。是犹如极光般美丽的颈鳍。	台座／展示台×1|冻原化石（头）×1|冻原化石（身体）×1|冻原化石（尾巴）×1	冰雪巨龙,普通,全部
202	劲爽清蓝	はじけるブルー	Boundless blue beverage	透明的蓝色冰淇淋汽水。看着它就像在看海中的景色。	椅子（任意）×1|桌子（任意）×1|冰淇淋汽水×1	水伊布,普通,空空镇
203	麻麻薯饼	シビれるポテト	Electrifying potatoes	炸得酥酥脆脆的星形薯饼。好吃到军身发麻。	椅子（任意）×1|桌子（任意）×1|炸薯饼×1	雷伊布,普通,空空镇
204	辣到喷火	もえるほどスパイシー	Burning-hot spice	涂满辣酱的圆形比萨。辣得感觉能喷火。	椅子（任意）×1|桌子（任意）×1|比萨×1	火伊布,普通,空空镇
205	优雅的午后	エレガントな昼下がり	Elegant daytime treats	午后时分的下午茶坐在椅子上品尝，享受优雅的氛围。	椅子（任意）×1|桌子（任意）×1|下午茶套组×1	太阳伊布,普通,空空镇
206	黑色滋味	ブラックな味わい	Dark-chocolate cookies	由黑巧克力制成的饼一不太甜，但感觉有种温柔的味道。	椅子（任意）×1|桌子（任意）×1|巧克力饼干×1	月亮伊布,普通,空空镇
207	绿色三明治	緑のサンドイッチ	Leafy greens sandwich	吃了全是蔬菜的三明治，好像身体就会焕发出活力。	椅子（任意）×1|桌子（任意）×1|三明治×1	叶伊布,普通,空空镇
208	冰凉刨冰	ヒンヤリかき氷	Chilly shaved ice	搭配了冰块的创冰。吃下去会军身冰凉，快要冻僵。	椅子（任意）×1|桌子（任意）×1|刨冰×1	冰伊布,普通,空空镇
209	可爱的蛋糕	ラブリーなケーキ	Lovely ribbon cake	大大的蝴蝶结配上心形装饰非常可爱，味道甜美至极。	椅子（任意）×1|桌子（任意）×1|缎带蛋糕×1	仙子伊布,普通,空空镇
10001	黄色绒毯			花田里盛开着温暖的黄色花朵。看着看着，似乎就能变得充满活力。	悠然的花×4	毽子草,普通,全部|毽子花,稀有,全部|毽子棉,超稀有,全部
10002	远足必备			把便当和水壶放入背包中，郊游的准备就做好了。	花朵背包×1|毽子草水壶×1|便当×1	毽子花,普通,全部
10003	和蒲公英一起午餐			援放好便当和餐具套装等用品，开启野餐的午休时光。	悠然的花×1|花朵靠枕×1|便当×1|花朵餐具套组×1	毽子棉,稀有,全部
10004	寻宝套组			地图和指南针是导宝的必备品。为了寻找宝石，出发吧!。	冒险套组×1|地图与指南针×1|财宝×1	勾魂眼,稀有,全部
